Participant,Gait,Trial,StartTime,EndTime,AllDataExists,Active
2,l_comf,8,2.4,5.67,1,0
2,l_comf,9,2.51,5.88,1,0
2,l_comf,10,2.49,5.85,1,0
2,l_comf,11,2.34,5.77,1,0
2,l_fast,1,2.99,5.52,1,0
2,l_fast,2,2.67,5.12,1,0
2,l_fast,3,2.82,5.36,1,0
2,l_fast,4,2.4,4.87,1,0
2,l_fast,5,2.55,5.07,1,0
2,l_fast,6,2.68,5.45,1,0
2,l_fast,7,2.8,5.32,1,0
2,l_fast,8,2.81,5.74,1,0
2,l_fast,9,2.82,5.9,1,0
2,l_fast,10,3.06,5.64,1,0
2,l_fast,11,2.9,5.51,1,0
2,l_slow,1,3.65,7.96,1,0
2,l_slow,2,3.48,8.02,1,0
2,l_slow,3,3.16,7.65,1,0
2,l_slow,4,3.87,8.34,1,0
2,l_slow,5,nan,nan,1,0
2,l_slow,6,3.64,8.3,1,0
2,l_slow,7,3.76,8.77,1,0
2,l_slow,8,3.22,7.89,1,0
2,l_slow,9,3.63,7.62,1,0
2,l_slow,10,3.23,8.04,1,0
2,r_comf,1,3.58,3.59,1,0
2,r_comf,2,3.06,5.63,1,0
2,r_comf,3,5.39,5.68,1,0
2,r_comf,4,3.05,6.03,1,0
2,r_comf,5,1.87,5.08,1,0
2,r_comf,6,nan,nan,1,0
2,r_comf,7,1.85,5.49,1,0
2,r_comf,8,1.76,5.42,1,0
2,r_comf,9,1.74,1.81,1,0
2,r_comf,10,1.53,1.61,1,0
2,r_comf,11,1.66,5.45,1,0
2,r_comf,12,1.67,5.55,1,0
2,r_fast,1,1.31,2.03,1,0
2,r_fast,2,2.61,5.52,1,0
2,r_fast,3,2.09,2.11,1,0
2,r_fast,4,2.22,5.14,1,0
2,r_fast,5,1.98,1.99,1,0
2,r_fast,6,1.84,4.85,1,0
2,r_fast,7,2.04,2.06,1,0
2,r_fast,8,1.63,1.64,1,0
2,r_fast,9,1.95,1.97,1,0
2,r_fast,10,1.61,1.72,1,0
2,r_fast,11,1.79,1.82,1,0
2,r_fast,12,1.84,1.86,1,0
2,r_slow,1,2.51,6.48,1,0
2,r_slow,2,2.7,7.82,1,0
2,r_slow,3,2.67,2.72,1,0
2,r_slow,4,3.01,7.76,1,0
2,r_slow,5,2.52,2.54,1,0
2,r_slow,6,2.84,2.94,1,0
2,r_slow,7,2.37,7.06,1,0
2,r_slow,8,2.66,2.78,1,0
2,r_slow,9,2.56,2.59,1,0
2,r_slow,10,2.25,6.74,1,0
3,l_comf,1,nan,nan,1,0
3,l_comf,2,2.86,2.93,1,0
3,l_comf,3,nan,nan,1,0
3,l_comf,4,2.74,2.9,1,0
3,l_comf,5,nan,nan,1,0
3,l_comf,6,nan,nan,1,0
3,l_comf,7,nan,nan,1,0
3,l_comf,8,nan,nan,1,0
3,l_comf,9,nan,nan,0,0
3,l_comf,10,0.01,4.15,0,0
3,l_comf,11,nan,nan,1,0
3,l_fast,1,1.97,1.98,1,0
3,l_fast,2,nan,nan,1,0
3,l_fast,3,nan,nan,1,0
3,l_fast,4,nan,nan,1,0
3,l_fast,5,nan,nan,1,0
3,l_fast,6,nan,nan,1,0
3,l_fast,7,nan,nan,1,0
3,l_fast,8,nan,nan,1,0
3,l_fast,9,2,2.01,1,0
3,l_fast,10,2.08,2.09,1,0
3,l_slow,1,2.36,2.43,1,0
3,l_slow,2,nan,nan,1,0
3,l_slow,3,nan,nan,1,0
3,l_slow,4,2.33,2.36,1,0
3,l_slow,5,nan,nan,1,0
3,l_slow,6,2.56,2.58,1,0
3,l_slow,7,nan,nan,1,0
3,l_slow,8,nan,nan,1,0
3,l_slow,9,2.67,2.7,1,0
3,l_slow,10,nan,nan,1,0
3,l_slow,11,3.93,3.99,1,0
3,l_slow,12,nan,nan,1,0
3,r_comf,1,nan,nan,1,0
3,r_comf,2,nan,nan,1,0
3,r_comf,3,nan,nan,1,0
3,r_comf,4,nan,nan,1,0
3,r_comf,5,nan,nan,1,0
3,r_comf,6,nan,nan,1,0
3,r_comf,7,nan,nan,1,0
3,r_comf,8,nan,nan,1,0
3,r_comf,9,nan,nan,1,0
3,r_comf,10,nan,nan,1,0
3,r_fast,1,nan,nan,1,0
3,r_fast,2,nan,nan,1,0
3,r_fast,3,nan,nan,1,0
3,r_fast,4,nan,nan,1,0
3,r_fast,5,nan,nan,1,0
3,r_fast,6,nan,nan,1,0
3,r_fast,7,nan,nan,1,0
3,r_fast,8,nan,nan,1,0
3,r_fast,9,nan,nan,1,0
3,r_fast,10,nan,nan,1,0
3,r_slow,1,nan,nan,1,0
3,r_slow,2,nan,nan,1,0
3,r_slow,3,nan,nan,1,0
3,r_slow,4,nan,nan,1,0
3,r_slow,5,nan,nan,1,0
3,r_slow,6,nan,nan,1,0
3,r_slow,7,nan,nan,1,0
3,r_slow,8,nan,nan,1,0
3,r_slow,9,nan,nan,1,0
3,r_slow,10,nan,nan,1,0
4,l_comf,1,3.05,6.76,1,0
4,l_comf,2,3.17,7.39,1,0
4,l_comf,3,nan,nan,1,0
4,l_comf,4,nan,nan,1,0
4,l_comf,5,2.8,6.61,1,0
4,l_comf,6,2.65,6.28,1,0
4,l_comf,7,2.87,6.16,1,0
4,l_comf,8,2.85,6.7,1,0
4,l_comf,9,2.75,6.68,1,0
4,l_comf,10,2.79,6.62,1,0
4,l_fast,1,nan,nan,1,0
4,l_fast,2,nan,nan,1,0
4,l_fast,3,2.76,2.79,1,0
4,l_fast,4,nan,nan,1,0
4,l_fast,5,nan,nan,1,0
4,l_fast,6,nan,nan,1,0
4,l_fast,7,nan,nan,1,0
4,l_fast,8,2.9,2.91,1,0
4,l_fast,9,nan,nan,1,0
4,l_fast,10,nan,nan,1,0
4,l_slow,1,nan,nan,1,0
4,l_slow,2,nan,nan,1,0
4,l_slow,3,nan,nan,1,0
4,l_slow,4,3.4,3.52,1,0
4,l_slow,5,nan,nan,1,0
4,l_slow,6,nan,nan,1,0
4,l_slow,7,nan,nan,1,0
4,l_slow,8,nan,nan,1,0
4,l_slow,9,3.14,3.15,1,0
4,l_slow,10,nan,nan,1,0
4,l_slow,11,nan,nan,1,0
4,r_comf,1,1.55,4.76,1,0
4,r_comf,2,1.65,4.95,1,0
4,r_comf,3,1.26,4.56,1,0
4,r_comf,4,1.61,4.89,1,0
4,r_comf,5,1.51,4.81,1,0
4,r_comf,6,1.58,4.85,1,0
